	title	lat	lng
342	Gleason	36.21543	-88.612653
343	Troy	36.358861	-89.135049
344	Nashville	36.076997	-86.949132
345	Janesville	42.65118	-89.031073
346	Nashville	36.08536	-86.72848
347	Antioch	36.079488	-86.644524
348	Columbus	40.004252	-83.00853
349	New Johnsonville	36.029003	-87.951145
350	Brentwood	36.035064	-86.787982
351	Greenfield	36.162891	-88.803524
352	Tiptonville	36.377809	-89.465817
353	Columbus	40.085578	-82.957042
354	Kenton	36.205169	-89.014239
355	London	37.107533	-84.085754
356	Franklin	35.956893	-86.802654
357	Huntingdon	36.007322	-88.405602
358	Gahanna	40.048236	-82.864542
359	Kingdom City	38.9431	-91.94034
360	Franklin	35.925719	-86.868292
361	Smyrna	35.963268	-86.49596
362	Toledo	41.616187	-83.664074
363	Edgerton	42.835759	-89.023825
364	Poplar Bluff	36.758218	-90.405986
365	Wauwatosa	43.050458	-88.007514
366	Dyer	36.065822	-88.993378
367	Toledo	41.692117	-83.623067
368	Newbern	36.121259	-89.253383
369	Cookeville	36.14147	-85.501309
370	Murfreesboro	35.869009	-86.386778
371	Murfreesboro	35.847251	-86.430127
372	Trenton	35.965615	-88.941858
373	Spring Hill	35.76728	-86.91821
374	Bayside	43.177255	-87.913039
375	Dyersburg	36.063714	-89.348292
376	Grand Rapids	42.913625	-85.506522
377	Medina	35.792994	-88.78951
378	Jefferson City	38.581144	-92.208529
379	Humboldt	35.788563	-88.870166
380	Columbia	38.948616	-92.32798
381	Columbia	38.916083	-92.333744
382	Columbia	35.60501	-87.06611
383	Ashland	38.465632	-82.617774
384	Columbia	38.937024	-92.359973
385	Lexington	35.638795	-88.357599
386	Monroe	41.94175	-83.40411
387	Ann Arbor	42.269204	-83.772508
388	Jackson	35.670217	-88.853023
389	Okemos	42.71963	-84.418706
390	Jackson	35.658903	-88.828623
391	Louisa	38.126752	-82.628827
392	Huntington	38.404672	-82.429037
393	Shelbyville	35.500954	-86.457914
394	Fort Leonard Wood	37.761046	-92.107197
395	Blytheville	35.888893	-89.918668
396	Howell	42.600704	-83.933122
397	Brighton	42.550399	-83.788809
398	Henderson	35.44432	-88.616454
399	Canton	42.322476	-83.450514
400	Manchester	35.45968	-86.056644
401	Woodhaven	42.140928	-83.227222
402	Plymouth	42.358607	-83.471981
403	Brownstown	42.170828	-83.246579
404	Taylor	42.225436	-83.268553
405	Westland	42.324328	-83.379703
406	Manila	35.883408	-90.178275
407	Southgate	42.198863	-83.206345
408	Hartland	42.635191	-83.738336
409	Dearborn Heights	42.278382	-83.270293
410	Westland	42.348519	-83.351313
411	Wixom	42.495748	-83.535708
412	Clinton	36.161547	-84.088317
413	Lincoln Park	42.225667	-83.194062
414	Dearborn	42.298826	-83.274256
415	Allen Park	42.256264	-83.214122
416	Livonia	42.411908	-83.373962
417	Novi	42.467556	-83.435331
418	Pocahontas	36.252709	-90.966533
419	Redford	42.363736	-83.274951
420	Oak Ridge	36.002539	-84.258648
421	Redford	42.395973	-83.277869
422	Farmington Hills	42.442442	-83.323169
423	Osceola	35.698237	-90.049745
424	Southfield	42.470715	-83.280405
425	Southfield	42.498828	-83.305721
426	West Bloomfield	42.546693	-83.35898
427	Windsor	42.270853	-83.012424
428	Powell	36.015735	-84.047173
429	Corryton	36.121487	-83.853876
430	Southfield	42.461528	-83.201642
431	Oak Park	42.474398	-83.20089
432	Southfield	42.505265	-83.223122
433	Keego Harbor	42.605937	-83.342325
434	Knoxville	35.902813	-84.151255
435	Ferndale	42.457757	-83.133105
436	Wooster	40.821916	-81.935012
437	Waterford	42.654223	-83.373823
438	Lenoir City	35.817346	-84.265339
439	Lorain	41.420678	-82.208916
440	Waterford Township	42.688468	-83.38417
441	Royal Oak	42.533143	-83.166171
442	Pontiac	42.621459	-83.249333
443	Madison Heights	42.504681	-83.086083
444	Tecumseh	42.312078	-82.86524
445	Jonesboro	35.820844	-90.682886
446	Warren	42.495812	-83.027483
447	Detroit	42.449468	-82.96826
448	Troy	42.565495	-83.089421
449	Warren	42.506663	-83.007441
450	Somerville	35.234793	-89.416298
451	Roseville	42.480137	-82.927675
452	Arlington	35.292662	-89.675401
453	Sterling Heights	42.581517	-83.030857
454	Sterling Heights	42.621413	-83.052624
455	Lake Orion	42.779233	-83.239538
456	Millington	35.341697	-89.904635
457	Middleton	35.042159	-88.895583
458	Clinton Township	42.565712	-82.950613
459	Maryville	35.800203	-83.944149
460	South Charleston	38.368106	-81.689282
461	Maryville	35.733889	-83.993793
462	North Olmsted	41.417033	-81.920759
463	Maryville	35.75547	-83.932336
464	Corinth	34.914494	-88.501056
465	Chattanooga	35.122833	-85.350209
466	Arlington	35.205261	-89.735255
467	Bartlett	35.23051	-89.80907
468	Memphis	35.204177	-89.794166
469	Middleburg Heights	41.371731	-81.825002
470	Cordova	35.15746	-89.727453
471	Bartlett	35.204294	-89.870184
472	Charleston	38.325889	-81.589049
473	Cordova	35.148847	-89.795467
474	Cleveland	41.451263	-81.812074
475	Chattanooga	35.089302	-85.187936
476	Cleveland	35.191396	-84.863969
477	McDonald	35.15545	-84.955784
478	Sevierville	35.839503	-83.571342
479	Madison	34.753814	-86.742194
480	Piperton	35.05057	-89.62204
481	Brooklyn	41.425843	-81.73484
482	Germantown	35.089668	-89.802312
483	Collierville	35.045826	-89.692909
484	Parma	41.405287	-81.696296
485	Memphis	35.110366	-89.890534
486	Chattanooga	35.034097	-85.158701
487	Memphis	35.129585	-89.945244
488	Pigeon Forge	35.790476	-83.558572
489	Memphis	35.087054	-89.859078
490	Chattanooga	35.01793	-85.173029
491	Pigeon Forge	35.781939	-83.550294
492	Memphis	35.13582	-90.005447
493	Lamar	34.947033	-89.438968
494	Marion	35.2108	-90.206707
495	East Ridge	34.989379	-85.209016
496	Memphis	35.049335	-89.82643
497	Huntsville	34.688047	-86.568266
498	Cuyahoga Falls	41.132262	-81.478743
499	Fort Oglethorpe	34.941504	-85.218903
500	Windsor	38.531554	-93.523544
501	Appleton	44.262262	-88.446418
502	Gatlinburg	35.711073	-83.518852
503	Appleton	44.294862	-88.37563
504	Decatur	34.591567	-86.979942
505	Memphis	35.038957	-90.025019
506	Cleveland	41.46435	-81.564496
507	Olive Branch	34.964641	-89.847349
508	Bay City	43.609685	-83.915298
509	Olive Branch	34.924778	-89.795099
510	Olive Branch	34.934311	-89.830309
511	Warrensville Heights	41.425341	-81.497512
512	South Euclid	41.521009	-81.527758
513	Southaven	34.96446	-89.984797
514	Byhalia	34.859403	-89.689386
515	Holly Springs	34.783112	-89.449293
516	Streetsboro	41.239722	-81.342879
517	Batesville	35.764547	-91.641375
518	Mountain Home	36.350426	-92.3681
519	Wynne	35.21622	-90.786927
520	Willoughby	41.626447	-81.434417
521	Green Bay	44.497882	-87.990937
522	Clinton	38.370881	-93.774013
523	New Albany	34.496635	-89.032955
524	Forrest City	35.031207	-90.789704
525	Bates City	39.010996	-94.071135
526	Painesville	41.726294	-81.252069
527	Tupelo	34.314306	-88.70648
528	Fulton	34.264431	-88.446343
529	Cameron	39.752644	-94.214644
530	Windsor Heights	41.614538	-93.723422
531	Tupelo	34.256939	-88.719315
532	Oxford	34.343206	-89.512298
533	Branson	36.64065	-93.24209
534	Hanceville	34.050724	-86.872547
535	Searcy	35.234786	-91.698677
536	Geneva	41.789272	-80.948101
537	Lees Summit	38.904937	-94.380743
538	Independence	39.039224	-94.416071
539	Independence	39.089951	-94.423739
540	Liberty	39.24314	-94.451527
541	Brinkley	34.906611	-91.197662
542	Kansas City	39.189736	-94.548294
543	Kansas City	39.013726	-94.589753
544	Prairie Village	38.990358	-94.608063
545	New Castle	41.002253	-80.344158
546	Mission	39.022447	-94.648043
547	Water Valley	34.06618	-89.49708
548	Overland Park	38.911037	-94.66713
549	Cleveland	34.593611	-83.763411
550	Overland Park	38.957005	-94.719417
551	Oakland	34.096442	-89.868042
552	Saint Joseph	39.787074	-94.804936
553	Upper Saint Clair	40.326019	-80.065177
554	Olathe	38.912144	-94.766476
555	London	43.006161	-81.336012
556	Cabot	34.998139	-92.07096
557	Greenbrier	35.204864	-92.389784
558	Woodstock	34.101845	-84.532994
559	Cabot	34.944576	-92.060503
560	Woodstock	34.086839	-84.527956
561	Kennesaw	34.035906	-84.572133
562	Cumming	34.173262	-84.188446
563	Pittsburgh	40.502849	-79.851516
564	Clinton	35.112966	-92.424592
565	Cumming	34.174132	-84.127508
566	Marietta	34.021243	-84.528892
567	North Versailles	40.377569	-79.802234
568	Marietta	34.016724	-84.492849
569	Pell City	33.593371	-86.282997
570	Roswell	34.044694	-84.341032
571	Marietta	33.945772	-84.6232
572	Marietta	33.951671	-84.57512
573	Powder Springs	33.90284	-84.67326
574	Stuttgart	34.478968	-91.548278
575	Marietta	33.942728	-84.533515
576	West Point	33.559431	-88.659039
577	Marietta	33.96679	-84.411184
578	Grenada	33.786156	-89.85007
579	Sugar Hill	34.096567	-84.015265
580	Duluth	34.006894	-84.170442
581	Norcross	33.984724	-84.213739
582	Atkins	35.220974	-92.82596
583	Atlanta	33.888226	-84.473489
584	Atlanta	33.919134	-84.379026
585	Braselton	34.121414	-83.827433
586	Buford	34.080805	-83.92258
587	Villa Rica	33.727755	-84.940624
588	Joplin	37.056375	-94.514443
589	Chamblee	33.899518	-84.301501
590	Lawrenceville	33.977536	-84.080089
591	Duluth	33.942229	-84.127685
592	Erie	42.06951	-80.10427
593	Starkville	33.435018	-88.864681
594	Atlanta	33.817418	-84.388726
595	Little Rock	34.765908	-92.386303
596	Lilburn	33.906138	-84.112184
597	Tucker	33.850947	-84.215161
598	Greer	34.890878	-82.21683
599	Little Rock	34.755667	-92.418141
600	Atlanta	33.77337	-84.371234
601	Decatur	33.78591	-84.23479
